22/9/99;1497.85
23/9/99;1517.59
24/9/99;1538.62
25/9/99;1498.49
26/9/99;1390.44
27/9/99;1478.93
28/9/99;1494.38
29/9/99;1470.06
30/9/99;1490.35
1/10/99;1445.93
2/10/99;1391.54
3/10/99;1306.44
4/10/99;1376.55
5/10/99;1348.94
6/10/99;1365.94
7/10/99;1342.63
8/10/99;1334.68
9/10/99;1274.17
10/10/99;1191.90
11/10/99;1294.00
12/10/99;1246.38
13/10/99;1300.49
14/10/99;1304.88
15/10/99;1283.95
16/10/99;1239.25
17/10/99;1157.07
18/10/99;1221.24
19/10/99;1217.13
20/10/99;1222.70
21/10/99;1171.88
22/10/99;1204.06
23/10/99;1160.73
24/10/99;1082.21
25/10/99;1145.83
26/10/99;1146.65
27/10/99;1150.31
28/10/99;1132.12
29/10/99;1125.90
30/10/99;1040.07
31/10/99;891.25
1/11/99;831.56
2/11/99;921.05
3/11/99;909.90
4/11/99;891.07
5/11/99;887.41
6/11/99;833.39
7/11/99;765.84
8/11/99;860.54
9/11/99;883.11
10/11/99;888.14
11/11/99;935.22
12/11/99;895.73
13/11/99;842.16
14/11/99;801.03
15/11/99;931.11
16/11/99;955.69
17/11/99;952.22
18/11/99;953.77
19/11/99;953.04
20/11/99;983.39
21/11/99;957.34
22/11/99;1082.66
23/11/99;1076.72
24/11/99;1085.68
25/11/99;1085.13
26/11/99;1047.01
27/11/99;999.94
28/11/99;903.50
29/11/99;984.40
30/11/99;1014.56
1/12/99;986.41
2/12/99;940.25
3/12/99;926.17
4/12/99;911.91
5/12/99;841.61
6/12/99;878.36
7/12/99;968.77
8/12/99;907.80
9/12/99;1015.11
10/12/99;1011.82
11/12/99;951.95
12/12/99;880.46
13/12/99;948.11
14/12/99;947.65
15/12/99;972.79
16/12/99;1098.11
17/12/99;1140.07
18/12/99;1050.67
19/12/99;1022.97
20/12/99;1023.89
21/12/99;1044.82
22/12/99;1056.06
23/12/99;1057.80
24/12/99;1029.55
25/12/99;921.87
26/12/99;887.59
27/12/99;896.64
28/12/99;953.77
29/12/99;1045.46
30/12/99;1083.94
31/12/99;1170.23
1/1/00;1033.94
2/1/00;1022.97
3/1/00;1160.91
4/1/00;1113.38
5/1/00;1085.13
6/1/00;990.61
7/1/00;1086.14
8/1/00;1080.38
9/1/00;1031.38
10/1/00;1137.24
11/1/00;1143.91
12/1/00;1104.24
13/1/00;1135.32
14/1/00;1144.18
15/1/00;1064.75
16/1/00;987.69
17/1/00;1076.90
18/1/00;1087.78
19/1/00;1103.69
20/1/00;1115.21
21/1/00;1118.31
22/1/00;1065.94
23/1/00;1021.33
24/1/00;1152.04
25/1/00;1165.57
26/1/00;1167.68
27/1/00;1138.15
28/1/00;1134.49
29/1/00;1046.01
30/1/00;961.18
31/1/00;1055.79
1/2/00;1024.53
2/2/00;965.02
3/2/00;936.04
4/2/00;949.11
5/2/00;931.75
6/2/00;879.37
7/2/00;969.86
8/2/00;950.39
9/2/00;937.60
10/2/00;950.67
11/2/00;956.70
12/2/00;936.77
13/2/00;884.30
14/2/00;955.15
15/2/00;944.54
16/2/00;938.60
17/2/00;926.26
18/2/00;925.07
19/2/00;857.70
20/2/00;812.45
21/2/00;912.37
22/2/00;974.62
23/2/00;949.48
24/2/00;962.64
25/2/00;960.81
26/2/00;924.07
27/2/00;850.57
28/2/00;949.30
29/2/00;845.00
1/3/00;915.38
2/3/00;940.98
3/3/00;891.52
4/3/00;849.20
5/3/00;936.32
6/3/00;947.74
7/3/00;948.20
8/3/00;941.53
9/3/00;925.07
10/3/00;867.12
11/3/00;793.81
12/3/00;881.65
13/3/00;913.10
14/3/00;889.79
15/3/00;905.69
16/3/00;902.49
17/3/00;867.85
18/3/00;827.08
19/3/00;927.27
20/3/00;941.89
21/3/00;952.50
22/3/00;920.32
23/3/00;896.28
24/3/00;824.80
25/3/00;785.67
26/3/00;881.20
27/3/00;921.14
28/3/00;938.24
29/3/00;939.42
30/3/00;932.57
31/3/00;877.45
1/4/00;816.11
2/4/00;907.89
3/4/00;940.25
4/4/00;945.09
5/4/00;953.41
6/4/00;974.98
7/4/00;979.00
8/4/00;883.66
9/4/00;956.70
10/4/00;983.67
11/4/00;988.05
12/4/00;988.79
13/4/00;1004.23
14/4/00;967.49
15/4/00;913.83
16/4/00;962.46
17/4/00;1038.97
18/4/00;1057.43
19/4/00;1064.20
20/4/00;973.79
21/4/00;1015.75
22/4/00;946.01
23/4/00;1052.86
24/4/00;1063.38
25/4/00;1088.70
26/4/00;1106.52
27/4/00;1108.08
28/4/00;1091.80
29/4/00;1034.86
30/4/00;1064.29
1/5/00;1161.46
2/5/00;1174.44
3/5/00;1202.69
4/5/00;1213.47
5/5/00;1191.17
6/5/00;1122.15
7/5/00;1234.13
8/5/00;1264.75
9/5/00;1259.36
10/5/00;1265.58
11/5/00;1278.28
12/5/00;1252.50
13/5/00;1184.49
14/5/00;1288.98
15/5/00;1318.87
16/5/00;1329.47
17/5/00;1339.98
18/5/00;1351.04
19/5/00;1314.21
20/5/00;1257.90
21/5/00;1328.19
22/5/00;1349.95
23/5/00;1366.04
24/5/00;1371.79
